,River,Route Start,Route End,Route Length,Route Start GPS N,Route Start GPS E,Route End GPS N,Route End GPS E,Treshold Easy,Treshold Doable,Measuring Point,Measuring Point ID,Has Data,Measuring Point Link,Measuring Point GPS N,Measuring Point GPS E,Route Start WGS84 La,Route Start WGS84 Lo,Route End WGS84 La,Route End WGS84 Lo
19,Brobackanjoki–Mankinjoki,Nuuksion Pitkäjärvi,Dämmanin vedenpuhdistuslaitos,6.0,6681885.672,366714.824,6678224.523,367121.274,5.0,1.5,"Mankinjoki, kehä III silta",3004,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/81/q8102900y/wqfi.html,6675625.0,366030.0,60.251791370926696,24.591740438098846,60.219079910340234,24.601479665432183
20,Brobackanjoki–Mankinjoki,Dämmanin vedenpuhdistuslaitos,Espoonlahti,9.0,6678321.523,367137.274,6673318.716,365133.389,,1.5,"Mankinjoki, kehä III silta",3004,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/81/q8102900y/wqfi.html,6675625.0,366030.0,60.21995532444399,24.60170459456776,60.17441724505284,24.568893876116665
21,Lepsämänjoki,Lakiston/Härkälänjoen risteys,Luhtajoki-risteys,14.5,6694529.689,370720.536,6692217.057,377884.724,5.0,2.0,Lepsämänjoki,3018,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/21/q2104900y/wqfi.html,6690506.0,376269.0,60.36651773416207,24.65592971042686,60.34799221574203,24.787119635964334
22,Lepsämänjoki,Luhtajoki-risteys,liittyminen Vantaanjokeen,2.5,6692217.057,377884.724,6692052.024,379857.182,0.0,0.0,,,,,,,60.34799221574203,24.787119635964334,60.34710098449936,24.822931295702165
23,Luhtajoki,Pohjois-Nurmijärvi,Kuhakoski,15.5,6708763.265,377513.351,6701783.001,374098.184,3.0,1.0,Luhtajoki,3015,No,http://wwwi2.ymparisto.fi/i2/21/q2104700y/wqfi.html,6692514.0,377872.0,60.49633135437063,24.770251647441853,60.432655450912726,24.712551279497795
24,Luhtajoki,Kuhakoski,liittyminen Lepsämänjokeen,14.5,6701783.001,374098.184,6692217.057,377884.724,3.0,1.0,Luhtajoki,3015,No,http://wwwi2.ymparisto.fi/i2/21/q2104700y/wqfi.html,6692514.0,377872.0,60.432655450912726,24.712551279497795,60.34799221574203,24.787119635964334
25,Tuusulanjoki,Tuusulanjärvi,liittyminen Vantaanjokeen,15.0,6698013.712,390990.361,6690470.615,383708.897,,3.0,Tuusulanjoki,3308,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/21/q2105400y/wqfi.html,6692011.0,386449.0,60.40374498539756,25.021282037954357,60.33403487610891,24.893586005315836
26,Lakistonjoki,Velskola,Lepsämänjoki,8.0,6688543.772,369146.164,6694488.623,370715.625,,4.0,Lepsämänjoki,3018,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/21/q2104900y/wqfi.html,6690506.0,376269.0,60.31231180564289,24.631309329977242,60.36614775334885,24.65586722040705
27,Härkälänjoki,Salmijärvi,Härkälän silta,2.3,6695751.941,362247.558,6697159.941,363299.558,-1.0,-1.0,,,,,,,60.374688565798536,24.501625357823574,60.38767534829958,24.519723618079922
28,Härkälänjoki,Härkälän silta,Lepsämänjoki,12.7,6697159.941,363299.558,6694650.451,370707.583,,2.0,Sandbacka,1089,Karttapalvelu / Odata,http://wwwi2.ymparisto.fi/i2/21/q2100946y/wqfi.html,6694210.0,369862.0,60.38767534829958,24.519723618079922,60.36759698463975,24.6556172362434
29,Glimsinjoki,Pitkäjärvi,Vanha Turuntie,3.0,6679930.671,373349.595,6678499.27,371578.283,,,Espoon Pitkäjärvi,,No,http://wwwi2.ymparisto.fi/i2/81/l810551010y/wqfi.html,,,60.23637092029606,24.712729676597647,60.22297411546099,24.681678259761433
30,Glimsinjoki,Vanha Turuntie,Espoonjoki,1.5,6678499.27,371578.283,6677692.822,371161.272,,1.0,"Espoonjoki, moottoritien silta",,No,http://wwwi2.ymparisto.fi/i2/81/q8102850y/wqfi.html,6677571.0,370716.0,60.22297411546099,24.681678259761433,60.21560733783323,24.67467004411642
31,Kauhalanjoki,Hauklampi (Kauhala),Kauhalan ulkoilualueen eteläraja,3.0,6682373.938,361823.005,6680087.303,360996.551,,,,,,,,,60.254539552016894,24.50311548615671,60.233746217852065,24.48976887411867
32,Kauhalanjoki,Kauhalan ulkoilualueen eteläraja,Liittyminen Brobackanjokeen,9.0,6680087.303,360996.551,6675842.004,366043.021,,,,,,,,,60.233746217852065,24.48976887411867,60.19735328050079,24.583610183570098
33,Glomsinjoki,Bodominjärvi,Espoonjoki,5.0,6680868.852,370311.085,6677692.822,371161.272,,,,,,,,,60.243831224115205,24.657306885546294,60.21560733783323,24.67467004411642
34,Myllypuro,Paikka Takalan laavun lähellä,Nuuksion Pitkäjärvi,6.0,6691270.424,361929.218,6687904.416,363956.657,,,,,,,,,60.33437997692084,24.49894026285435,60.304870320841985,24.537901264209392
35,Sahaoja,Sahajärvi,Nuuksion Pitkäjärvi,3.0,6683818.323,364999.616,6682165.458,366649.251,,,,,,,,,60.26856326929054,24.559490982446057,60.254279839046106,24.590372351288195
